sex_label,cdc3_new_cat,fms_man
Boys,Normal Weight,11
Boys,Normal Weight,13
Girls,Normal Weight,10
Girls,Normal Weight,11
Boys,Normal Weight,14
Boys,Normal Weight,11
Boys,Normal Weight,13
Girls,Normal Weight,6
Girls,Normal Weight,11
Boys,Normal Weight,9
Girls,Normal Weight,11
Girls,Normal Weight,9
Girls,Normal Weight,6
Girls,Normal Weight,6
Girls,Normal Weight,8
Boys,Normal Weight,16
Girls,Normal Weight,12
Boys,Normal Weight,13
Boys,Normal Weight,16
Boys,Normal Weight,9
Boys,Normal Weight,12
Boys,Normal Weight,11
Boys,Normal Weight,9
Girls,Normal Weight,10
Boys,Normal Weight,13
Girls,Overweight,8
Boys,Overweight,9
Boys,Overweight,10
Boys,Overweight,16
Girls,Overweight,8
Girls,Overweight,9
Girls,Overweight,10
Boys,Overweight,12
Girls,Overweight,5
Girls,Overweight,13
Girls,Overweight,11
Boys,Overweight,12
Girls,Overweight,9
Boys,Overweight,16
